,0
1043,US4488957-0
1044,US6656010-0
1045,US10384465-0
1046,US11130228-0
1047,US11407702-0
1048,US8284141-0
1049,US9557995-0
1050,US11030533-0
1051,US7436066-0
1052,US10562943-0
1053,US6264348-0
1054,US8549328-0
1055,US10699127-1
1056,US9433507-0
1057,US6459276-0
1058,US7614742-0
1059,US9800794-0
1060,US4921312-0
1061,US6428832-0
1062,US7541133-0
1063,US4109166-0
1064,US10257555-0
1065,US6517942-0
1066,US6141926-0
1067,US11397796-0
1068,US4081494-0
1069,US5541775-0
1070,US11063334-0
1071,US10539350-0
1072,US4074180-0
1073,US5633927-0
1074,US6967034-0
1075,US11214146-0
1076,US4851850-0
1077,USD837261-0
1078,US5121362-0
1079,US4127770-0
1080,US9059138-0
1081,USD271464-0
1082,US4570163-0
1083,US4427218-0
1084,US10157324-0
1085,US7526364-0
1086,US4433007-0
1087,US8403618-0
1088,US5663736-0
1089,US5503159-0
1090,US9060434-0
1091,US3999386-0
1092,US6071328-0
1093,USD778081-0
1094,US10226879-0
1095,US8503456-0
1096,US9013781-0
1097,US9540510-0
1098,US5491742-0
1099,US6493240-0
1100,US5231268-0
1101,US6764623-0
1102,US7258139-0
1103,US9454846-0
1104,US7189174-0
1105,US11132832-0
1106,US8344411-0
1107,US10328762-0
1108,US6147065-0
1109,US10388320-0
1110,US10770302-0
1111,US5123711-0
1112,US11409849-0
1113,USD614200-0
1114,US7949004-0
1115,USD398909-0
1116,US9371930-0
1117,US4684871-0
1118,US9302038-0
1119,US8401704-0
1120,US9823597-0
1121,US10211602-0
1122,USD643853-0
1123,US9578760-0
1124,US11024996-0
1125,US7242146-0
1126,US6940673-0
1127,US10912048-0
1128,US10582930-0
1129,US7714786-0
1130,US8129380-0
1131,US8691991-0
1132,US3968997-0
1133,US7714812-1
1134,US10253688-0
1135,US4524107-0
1136,US6721151-0
1137,US9244150-0
1138,US5536765-0
1139,US7011762-0
1140,US8236734-0
1141,US5387758-0
1142,US6090563-0
1143,US11265389-0
1144,US9477858-0
1145,US9645857-0
1146,US9519929-0
1147,US5031453-0
1148,US6351438-0
1149,US6251835-0
1150,US7696073-0
1151,US10911225-0
1152,US5418165-0
1153,US10880964-0
1154,US10868266-0
1155,US9663367-1
1156,US6542233-0
1157,US9414233-0
1158,US8873610-0
1159,US11160433-0
1160,US10498108-0
1161,US9610662-0
1162,US7711643-0
1163,US7697897-0
1164,US7495545-0
1165,US6929303-0
1166,US11149478-0
1167,US7771122-0
1168,US9796064-0
1169,US5508294-0
1170,US6758479-0
1171,US9733522-0
1172,USD576622-0
1173,US8355881-0
1174,US11005506-0
1175,US4527102-0
1176,US5393437-0
1177,USD580221-0
1178,US10326633-0
1179,US6599918-0
1180,US4564818-0
1181,US11248840-0
1182,US9863305-0
1183,US10900671-0
1184,US5218099-0
1185,US10329875-0
1186,US11171045-0
1187,US5417070-0
1188,US7571311-0
1189,US5978670-0
1190,US11372780-0
1191,US11362765-0
1192,US8690358-0
1193,US6491702-0
1194,US5800888-0
1195,US10828080-0
1196,US5530729-0
1197,US10511385-0
1198,US8121644-0
1199,US9473660-0
1200,US10285521-0
1201,US6768276-0
1202,US11312863-0
1203,US11214429-0
1204,US7856972-0
1205,US3980273-0
1206,US6627353-0
1207,US8828328-0
1208,US4748163-0
1209,US4287464-0
1210,US4799815-0
1211,US5540243-0
1212,US10481445-0
1213,US7678918-0
1214,US6742322-0
1215,US11221387-0
1216,US5289197-0
1217,US8485554-0
